time-step,number of users,number of winners,social welfare
1,32,32,13897
61,49,49,24008
121,69,56,27933
181,91,79,40025
241,100,58,29876
301,98,72,37208
361,91,61,29831
421,80,65,32568
481,74,69,34532
541,61,34,15848
601,45,26,12280
661,40,31,15973
721,30,19,9166
781,12,12,6740
841,3,3,1713
