time-step,number of users,avg latency (for the allocated)
1,84,0.16012677534543607
61,124,0.2699852919262629
121,186,0.24375659525891663
181,228,0.21815180698947814
241,245,0.24269411598052756
301,250,0.26050336021017884
361,250,0.2307520208162948
421,250,0.2326805741317638
481,241,0.19103366844138123
541,232,0.25665285307998953
601,218,0.18671157979454783
661,202,0.22126027169281173
721,164,0.23161760288344266
781,127,0.2631747959894314
841,100,0.2397286081789632
901,58,0.15470326223724307
961,40,0.32319885484476235
1021,25,0.2907773192875265
1081,12,2.5826938147389837
