time-step,number of users,number of winners,prices
1,84,68,19824.319681265886
61,124,109,18396.80850150659
121,186,137,34355.89288704398
181,228,152,46713.07803544984
241,245,181,44933.404640535504
301,250,181,41882.88410960202
361,250,171,52906.71166786031
421,250,162,42765.321938608766
481,241,153,38851.47769180285
541,232,167,48398.071805440886
601,218,135,45805.74322384775
661,202,152,35119.89457084499
721,164,131,20308.184929324994
781,127,109,23299.414261512873
841,100,78,21262.19825732547
901,58,37,8064.188803373224
961,40,37,4086.6333459675257
1021,25,22,3507.6426399355955
1081,12,12,0
