time-step,number of users,number of winners,social welfare
1,84,68,36573
61,124,109,58908
121,186,137,72241
181,228,152,81701
241,245,181,93922
301,250,181,97189
361,250,171,88038
421,250,162,82951
481,241,153,83810
541,232,167,88489
601,218,135,68917
661,202,152,78242
721,164,131,67529
781,127,109,58441
841,100,78,40796
901,58,37,18177
961,40,37,19362
1021,25,22,11350
1081,12,12,6204
