time-step,number of users,number of winners,prices
1,144,139,6991.682751424963
61,190,181,17057.725878308087
121,255,216,29168.498860714328
181,321,250,64333.741017134584
241,382,304,59663.44438267438
301,436,265,78300.6075025487
361,480,353,95372.69470378188
421,493,288,91499.05977223834
481,496,339,117234.60265092539
541,500,336,97253.96473344637
601,500,327,114285.72971836795
661,500,292,95399.79023885609
721,500,348,98690.40198990259
781,500,341,108851.54503616184
841,494,322,98289.02642481851
901,484,329,101929.29850410101
961,458,278,82718.25816083195
1021,402,308,83587.58788622856
1081,359,244,45948.608776082976
1141,299,239,55439.61498721626
1201,247,169,32696.045518468585
1261,199,156,36672.33136047623
1321,153,131,13187.693759185175
1381,122,99,24380.571558072046
1441,93,65,16362.29906324943
1501,75,61,3953.8923617496966
1561,48,34,7044.0367469733665
1621,45,42,3558.56041890734
1681,32,23,6821.146743090187
1741,28,24,4031.0778898899166
1801,26,26,0
1861,20,16,3558.56041890734
1921,9,9,0
