time-step,number of users,number of winners,prices
1,144,141,4687.309890346059
61,190,182,18312.850179565903
121,255,217,34024.836586998535
181,321,239,66599.0449213432
241,382,298,70467.71540056102
301,436,233,95435.31186594543
361,480,335,122838.59043465318
421,493,262,111821.24700156234
481,496,318,133580.3421285905
541,500,302,116866.91072743962
601,500,299,133904.32008138666
661,500,258,114848.7563876861
721,500,336,110633.25492138117
781,500,315,131204.32554440838
841,494,307,120034.86783406405
901,484,324,115489.10174566059
961,458,259,93559.3113048833
1021,402,290,101187.43782786265
1081,359,240,56534.22716201106
1141,299,225,65450.156023007345
1201,247,164,40114.81267803947
1261,199,148,49726.19022409198
1321,153,131,15348.2374445
1381,122,97,30249.855839149634
1441,93,61,21748.271473977442
1501,75,57,5573.395483927698
1561,48,30,7601.2171131124105
1621,45,44,2323.334246262753
1681,32,21,8931.751838084041
1741,28,19,5745.222730783792
1801,26,26,0
1861,20,19,2323.334246262753
1921,9,9,0
