time-step,number of users,avg latency (for the allocated)
1,1,0.3425002283062402
31,1,0.3425002283062402
61,1,0.35129672211964813
91,1,0.04354861089762565
121,1,0.2871326354061639
151,1,0.18326768230354604
181,1,0.1881214989486854
211,1,0.2796326267378268
241,1,0.28671350773306475
271,1,0.23794486562961645
301,1,0.24299841773729472
331,1,0.08850265587066898
361,1,0.3898182469505287
391,1,0.25991309668186285
421,1,0.06770782800653251
451,1,0.17964755201583557
481,1,0.2667855895810691
511,1,0.3081408956122229
541,1,0.14468190336284367
571,1,0.0
601,1,0.3679612300539394
631,1,0.4518624196047186
661,1,0.3139135222351776
691,1,0.28011297065178803
721,1,0.3346029369314356
751,1,0.3346029369314356
781,1,0.17732933339029452
811,1,0.4581485585716435
841,1,0.16688616130586925
871,1,0.1381504492748359
901,1,0.27859560574383246
931,1,0.19712771602852414
961,1,0.38709021539213523
991,1,0.4189085870328054
1021,1,0.4961564423801291
1051,1,0.35044980868244785
1081,1,0.18615426955988226
1111,1,0.19667887265398465
1141,1,0.39325381544785193
1171,1,0.2772605174657961
1201,1,0.0
1231,1,0.0
1261,1,0.0
1291,1,0.0
1321,1,0.0
1351,1,0.0
1381,1,0.4175650719856063
1411,1,0.38964151760794347
1441,1,0.11932854772704747
1471,1,0.15326605818940955
1501,1,0.21437966252730797
1531,1,0.39631851780726185
1561,1,0.32709103639963977
1591,1,0.19009314294097282
1621,1,0.19644331618036814
1651,1,0.4515606826660862
1681,1,0.4489809284067723
1711,1,0.08510508332242148
1741,1,0.08510508332242148
1771,1,0.09171355096929013
1801,1,0.4434120343298907
1831,1,0.16077561739555474
1861,1,0.4567076674050479
1891,1,0.4861375981126487
1921,1,0.3356602144278874
1951,1,0.4990451248120432
1981,1,0.22739349993294752
2011,1,0.4071422195172001
2041,1,0.48806970422061796
2071,1,0.09659418058538546
2101,1,0.06524768474566886
2131,1,0.3016118034856664
2161,1,0.25692965378661314
2191,1,0.42641245840783626
2221,1,0.2550679086762995
2251,1,0.2085658960925664
2281,1,0.32330131024926034
2311,1,0.302549961294633
